City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches),Date
131,Butaritari,KI,3.07,172.79,82.53,78,20,13.51,light rain,0.0,0.0,2020-07-09 18:45:19
132,Aklavik,CA,68.22,-135.01,42.8,81,90,14.99,shower rain,0.0,0.0,2020-07-09 18:40:35
133,Pandan,PH,14.05,124.17,80.44,81,100,6.06,overcast clouds,0.0,0.0,2020-07-09 18:35:37
134,Surt,LY,31.21,16.59,76.5,84,0,13.62,clear sky,0.0,0.0,2020-07-09 18:45:20
135,Sri Aman,MY,1.24,111.46,75.2,100,100,2.24,light rain,0.0,0.0,2020-07-09 18:45:20
136,Lompoc,US,34.64,-120.46,66.2,72,3,5.82,clear sky,0.0,0.0,2020-07-09 18:32:51
137,Salina Cruz,MX,16.17,-95.2,95.16,48,64,0.76,broken clouds,0.0,0.0,2020-07-09 18:45:20
138,Parana,AR,-31.73,-60.52,62.01,39,3,11.01,clear sky,0.0,0.0,2020-07-09 18:45:21
139,Kalmar,SE,56.66,16.36,59.0,77,69,9.17,broken clouds,0.0,0.0,2020-07-09 18:45:21
140,Ahipara,NZ,-35.17,173.17,48.96,81,61,0.51,broken clouds,0.0,0.0,2020-07-09 18:35:26
141,Palmer,US,42.16,-72.33,93.0,52,40,8.05,scattered clouds,0.0,0.0,2020-07-09 18:45:21
142,Bilibino,RU,68.05,166.44,58.71,80,68,7.87,light rain,0.0,0.0,2020-07-09 18:45:21
143,Wendo,ET,6.6,38.42,58.17,88,100,3.8,light rain,0.0,0.0,2020-07-09 18:45:21
144,Cayenne,GF,4.93,-52.33,84.2,70,100,9.17,light rain,0.0,0.0,2020-07-09 18:45:22
145,Hadgaon,IN,19.5,77.67,77.86,84,100,15.88,light rain,0.0,0.0,2020-07-09 18:45:22
146,Olafsvik,IS,64.89,-23.71,52.38,66,48,10.04,scattered clouds,0.0,0.0,2020-07-09 18:45:22
147,Sorland,NO,67.67,12.69,53.6,81,9,9.17,clear sky,0.0,0.0,2020-07-09 18:45:22
148,Hasaki,JP,35.73,140.83,75.2,94,75,2.24,broken clouds,0.0,0.0,2020-07-09 18:45:22
149,Enid,US,36.4,-97.88,87.8,58,1,27.51,clear sky,0.0,0.0,2020-07-09 18:45:23
